Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
1210;Guideline Appropriate Ordering Profile;Clinical Decision Support Work Group;FHIR Management Group, Healthcare Standards Integration;Administrative;Keith W. Boone;Archived;10/12/2015;01/02/2016;Ballot - STU to Normative;2018 Jan WGM/Ballot;Supplement to a Current Standard, Externally developed IG is to be Adopted;GAO, Guideline Appropriate Ordering, AUC, Appropriate Use Criteria, IHE Clinical Decision Support;http://wiki.hl7.org/index.php?title=Guideline_Appropriate_Ordering;Don't Know;FHIR Profile;16/10/2015 08:00
1209;Develop and maintain FHIR security resources;Security Work Group;;Infrastructure;John Moehrke;Active Project (Resources assigned to pjt);02/12/2015;08/12/2015;- Other -;2024 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;Security, Privacy, Authentication, Authorization, Audit, Confidentiality, Integrity, Availability, Provenance, Surveillance, Signature, Encryption, Key-Management, Permissions, CyberSecurity;HL7's SVN repository;Yes;;16/10/2015 08:00
1208;HL7 Version 2.6 IG: Vital Records Death Reporting, DSTU 2 (US Realm);Public Health Work Group;Structured Documents Work Group;Clinical;Michelle Williamson, Hetty Khan;STU - Test Period/Accepting Comments;21/01/2016;13/06/2016;Ballot - STU to Normative;2021 Sept WGM/Ballot;IG;Vital Records, Death Reporting;"https://confluence.hl7.org/display/PHWG/Vital+Records

http://wiki.hl7.org/index.php?title=PHER_Vital_Records-Related_Activities ";Yes;V3 Documents-Clinical (e.g. CDA);16/10/2015 08:00
1211;GELLO IG: Model Definition Language for Clinical Decision Support for GELLO, Release 1;Clinical Decision Support Work Group;;Administrative;Andrew McIntyre;Archived;10/12/2015;08/02/2016;Ballot - Normative (no STU);2017 May WGM/Ballot;Create New Standard;"HL7 Version 3 IG: Virtual Medical Record for Clinical Decision Support(vMR-CDS) for GELLO, Release 1

It is not Version 3 specific, although can be used with V3. Suitable for representing any models for use within GELLO";http://wiki.hl7.org/index.php?title=Product_GELLO;No;V3 Rules-GELLO;16/10/2015 08:00
1207;Develop and maintain FHIR Infrastructure resources;FHIR Infrastructure Work Group;;Infrastructure;Lloyd McKenzie;Active Project (Resources assigned to pjt);;;- Other -;2026 Jan WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;FHIR Infrastructure Conformance ;http://github.com/hl7/fhir;Yes;;16/10/2015 08:00
1212;HL7 Attachments Supplemental Guide for the Exchange of C-CDA Based Documents -- IG DSTU Release 1;Payer/Provider Info Exchange Work Group;;Administrative;Craig Gabron and Robert Dieterle;Informative - Reconcile;06/10/2020;29/10/2015;Ballot - STU to Normative;2021 Sept WGM/Ballot;Create New Standard, Revise Current Standard, Supplement to a Current Standard, IG;"Attachments Supplement
Supplemental Guide for Attachments
Attachments Exchange
Attachments Exchange IG ";http://www.hl7.org/special/Committees/claims/docs.cfm;Yes;V3 Documents-Clinical (e.g. CDA);16/10/2015 08:00
1213;HL7 v2 genomics report lite;Orders and Observations Work Group;Clinical Genomics Work Group;Administrative;Clem McDonald;Archived;;;Ballot - STU to Normative;2017 Sept WGM/Ballot;IG;;;Yes;V2 Messages-Clinical;16/10/2015 08:00
1215;Whitepaper to explore Clinical Quality Data Sharing Use Cases;Clinical Quality Information Work Group;;Clinical;Dave S. S. and Julia Skapik;Archived;;;Ballot - Comment;2019 Jan WGM/Ballot;Supplement to a Current Standard;"quality measurement; QRDA; quality reporting; data exchange";http://wiki.hl7.org/index.php?title=Clinical_Quality_Information_Work_Group;N/A;- Non Product Project -;20/10/2015 08:00
1214;Trauma Registry Data Submission CDA R2;Clinical Interoperability Council Work Group;;Clinical;Jay Lyle;Archived;09/11/2015;30/11/2015;Ballot - Normative (no STU);2016 Sept WGM/Ballot;Revise Current Standard;Trauma Registry Data Submission, National Trauma Data Standard (NTDS), National Trauma Data Bank (NTDB);Project documents will be posted on the HL7 Wiki under the CIC workgroup;Yes;V3 Documents-Clinical (e.g. CDA);20/10/2015 08:00
1157;Healthcare (Security and Privacy) Access Control Catalog;Security Work Group;Community-Based Care and Privacy (CBCP) Work Group;Infrastructure;Mike Davis;Archived;01/12/2015;02/12/2015;Ballot - Normative (no STU);2016 May WGM/Ballot;Reaffirmation of a standard;RBAC, Role-based Access Control Permission Catalog;"Security WG WiKi: , related project links
GForge (Security): , document repository ";Don't Know;V2 Messages-Infrastructure;20/10/2015 08:00
1216;Public Health Case Report Update;Public Health Work Group;Structured Documents Work Group;Clinical;Maribeth Gagnon (CDC);STU - Test Period/Accepting Comments;12/11/2015;22/12/2015;Ballot - STU to Normative;2024 May WGM/Ballot;Revise Current Standard, IG;Public Health reporting, Public Health Case reporting, Reportable conditions, Notice of Reportability;"https://confluence.hl7.org/display/PHWG/Public+Health+Case+Reporting

http://wiki.hl7.org/index.php?title=PHER_Public_Health_Case_Report_R2";Yes;;22/10/2015 08:00
1218;Nov 2015 Post Harmonization;Board of Directors Work Group;No Selection;None;Ted Klein;Archived;;;Vendor Contract;2016 Jan WGM/Ballot;Revise Current Standard;;;;V3 Foundation-RIM;04/11/2015 08:00
1219;Work Group Multi-Year Planning;Technical Steering Committee;;None;Rick Haddorff;Archived;;16/11/2015;Investigative Project (PSS-Lite);2020 Jan WGM/Ballot;;"Preferred: Multi-Year Planning; 1/3/6 year planning;";"gForge:

http://gforge.hl7.org/gf/project/multiyear/";N/A;;17/11/2015 08:00
1223;HL7 Cloud Planning Guide;Services Oriented Architecture Work Group;Implementable Technology Specifications Work Group;Infrastructure;Ken Rubin;Archived;02/12/2015;22/06/2018;Ballot - Informative;2018 Sept WGM/Ballot;Create New Standard, IG;Cloud Blueprint;"http://confluence.hl7.org/display/SOA/HL7+Cloud+Planning+Guide
http://hssp.wikispaces.com/cloud";No;- New Product Definition -;15/12/2015 08:00
1224;Introducing New Processes to HL7, Release 2;Project Services Work Group;;Organizational Support;Freida Hall/Project Services;Archived;16/11/2015;01/12/2015;- Other -;2016 Sept WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;New process, Introducing ;http://gforge.hl7.org/gf/project/psc/docman/PSS-Introducing%20New%20Processes%20Release%202/;N/A;- Non Product Project -;17/12/2015 08:00
1225;Occupational Data for Health Data Elements and Structure for Consolidated CDA Social History Section;Structured Documents Work Group;Healthcare Standards Integration, Public Health Work Group;Infrastructure;Zachary May;STU - Test Period/Accepting Comments;29/12/2015;01/02/2016;Ballot - Comment;2025 Sept WGM/Ballot;Revise Current Standard, IG;ODH (Occupational Data for Health);TBD;Yes;V3 Documents-Clinical (e.g. CDA);17/12/2015 08:00
1236;C-CDA R2.1 Companion Guide;Structured Documents Work Group;Patient Care Work Group;Administrative;Jean Duteau, Joginder Madra, Dave Hamill;Archived;18/03/2016;13/06/2016;Vendor Contract;2017 May WGM/Ballot;Supplement to a Current Standard;C-CDA R2.1 Companion Guide ;http://wiki.hl7.org/index.php?title=C-CDA_2.1_Companion_Guide_Project;No;V3 Documents-Clinical (e.g. CDA);21/12/2015 08:00
1227;"Reaffirm V3 Registries; Real Time Location Tracking, R1";Patient Administration Work Group;;Administrative;Patient Admin Work Group;Archived;07/03/2016;15/03/2016;Ballot - Normative (no STU);2016 Sept WGM/Ballot;Reaffirmation of a standard;Real Time Tracking;;No;V3 Messages-Administrative;22/12/2015 08:00
1228;Reaffirm V3:Drug Stability Reporting (eStability), R2;Biomedical Research and Regulation Work Group;;Clinical;RCRIM Work Group;Archived;21/01/2016;02/02/2016;Ballot - Normative (no STU);2016 Sept WGM/Ballot;Reaffirmation of a standard;;;;;22/12/2015 08:00
1226;HL7 Implementation Professional Certification Project;Board of Directors Work Group;PEST Work Group, Technical Steering Committee;None;Board of Directors;Archived;;;- Other -;2015 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;N/A;- Non Product Project -;22/12/2015 08:00
1220;Pharmacy Glossary;Pharmacy Work Group;;Clinical;Melva Peters;Archived;;;- Other -;2019 Jan WGM/Ballot;;;;;;01/01/2016 08:00
1278;Development and Maintenance of Vital Records Death Reporting FHIR Resources and Profiles;Public Health Work Group;;Clinical;Paula Braun;Archived;11/01/2016;16/02/2016;Ballot - STU to Normative;2019 Sept WGM/Ballot;Supplement to a Current Standard;Vital Records, Death Reporting;"https://confluence.hl7.org/display/PHWG/Vital+Records

Artifacts to be stored in the FHIR repository and PHER Wiki";Yes;;11/01/2016 08:00
1243;Revision of the Laboratory Report HL7 CDA R2 IG v1.0;HL7 Affiliate -  Italy;;None;Marco Devanna  (Contact Person: Giorgio Cangioli);Archived;;;HL7 Affiliate Project;2016 Jan WGM/Ballot;;;http://www.hl7italia.it/sites/default/files/Hl7/docs/public/HL7Italia-IG-CDA2_RefertoMedicinaLab-v1.1-S.pdf;;V3 Documents-Clinical (e.g. CDA);13/01/2016 08:00
1229;Structured Product Labeling for Food (SPL R8);Biomedical Research and Regulation Work Group;Patient Care Work Group;Clinical;Vada Perkins and Elaine Ayres;Archived;21/01/2016;01/02/2016;Ballot - Normative (no STU);2016 Sept WGM/Ballot;Create New Standard;Structured Product Labels for Food, SPL for Food, Food Label Standards, Food Supplement Label Standards ;Documents will be archived in the RCRIM project wiki site. ;Yes;V3 Domain Information Model (DIM / DMIM);21/01/2016 08:00
1230;HL7 Endorsement of DICOM PS3.20: Imaging Reports using HL7 CDA;Imaging Integration Work Group;Structured Documents Work Group;Administrative;Elliot Silver;Archived;;;Ballot - Normative (no STU);2021 Jan WGM/Ballot;Externally developed IG is to be Endorsed;"DICOM PS3.20: Imaging Reports using HL7 CDA
DICOM Imaging Report Templates
DICOM Part 20";"IIWG documents at http://www.hl7.org/Special/committees/imagemgt/docs.cfm 
Direct links to PS3.20 at 
(PDF) http://dicom.nema.org/medical/dicom/current/output/pdf/part20.pdf and 
(HTML) http://dicom.nema.org/medical/dicom/current/output/html/part20.html.  ";Yes;V3 Documents-Clinical (e.g. CDA);01/02/2016 08:00
814;Guidance on Implementation of Pharmacy Domain Messages;Pharmacy Work Group;;Clinical;Melva Peters;Archived;12/09/2011;28/09/2011;Ballot - Informative;2019 Jan WGM/Ballot;;;Pharmacy section of HL7 Wiki;;;01/02/2016 08:00
1298;OID Maintenance - 2016;Board of Directors Work Group;;None;Wilfred Bonney, Karen VanHentenryck;Archived;05/02/2015;05/02/2015;Vendor Contract;2017 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;01/02/2016 08:00
993;V2.7 Certification Test Language Analysis and Mitigation;Education Work Group;;Organizational Support;??;Archived;;;- Other -;2018 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"<a href=""http://wiki.hl7.org/index.php?title=V2.3_Certification_Test_Lanugage_Assessment&amp;action=edit&amp;redlink=1"">http://wiki.hl7.org/index.php?title=V2.3_Certification_Test_Lanugage_Assessment&amp;action=edit&amp;redlink=1";;- New/Modified HL7 Policy/Procedure/Process -;01/02/2016 08:00
1232;CDA and FHIR Pharmacist Care Plan IGs;Structured Documents Work Group;Pharmacy Work Group;Infrastructure;Scott Robertson;STU - Reconcile;17/07/2017;17/08/2017;Ballot - STU to Normative;2022 Jan WGM/Ballot;IG;Clinical Pharmacy Care Plan, Pharmacist Care Plan, Medication Therapy Management Care Plan ;https://confluence.hl7.org/pages/viewpage.action?pageId=31690434;Yes;V3 Documents-Clinical (e.g. CDA);02/02/2016 08:00
1231;FHIR Document Sharing;FHIR Infrastructure Work Group;Healthcare Standards Integration, Imaging Integration Work Group, Security Work Group, Structured Documents Work Group;Organizational Support;David Pyke;Archived;;;;2017 May WGM/Ballot;IG;MHD, PIXm, PDQm, IUA, MHD-I;FHIR G-forge;Yes;FHIR Profile;02/02/2016 08:00
1233;Arden Syntax Specialist Certification Program;Arden Syntax Work Group;Education Work Group;Infrastructure;Karsten Fehre;Archived;22/01/2016;01/02/2016;- Other -;2018 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);"Arden Syntax for Medical Logic Systems; Medical Logic Modules (MLMs) ";http://wiki.hl7.org/index.php?title=Arden_Syntax:Arden_Syntax_Test ;No;Arden Syntax;03/02/2016 08:00
1234;HL7 FHIR IG: CDS Hooks, Release 1;Clinical Decision Support Work Group, Clinical Quality Information Work Group;FHIR Infrastructure Work Group, Services Oriented Architecture Work Group;Administrative, Clinical;Bryn Rhodes;STU - Test Period/Accepting Comments;01/12/2017;21/12/2017;Ballot - STU to Normative;2023 May WGM/Ballot;Revise Current Standard, IG;CQF on FHIR, CDS on FHIR, FHIR eCQM, FHIR CDS Profiles, FHIR-based DSS IG, FHIR-based CDS KAS ;http://wiki.hl7.org/index.php?title=CDS_on_FHIR;No;"FHIR IG; FHIR Profile; FHIR Resources";04/02/2016 08:00
1238;Unique Device Identifier (UDI) Implementation Guidance Requirements;Orders and Observations Work Group;;Administrative;Marti Velezis, Bob Dieterle, MaryKay McDaniel, Hans Buitendijk,;Archived;16/02/2016;10/03/2016;Ballot - Informative;2023 May WGM/Ballot;Supplement to a Current Standard;UDI ;https://wiki.hl7.org/UDI;Don't Know;Domain Analysis Model (DAM);05/02/2016 08:00
1239;HL7 Pharmacy FHIR Updates;Pharmacy Work Group;;Clinical;Melva Peters;Active Project (Resources assigned to pjt);09/02/2016;22/02/2016;Ballot - STU;2022 Jan WGM/Ballot;Revise Current Standard;Pharmacy, Medication, Medication Order, Prescription, Medication Administration, Medication Statement, Dispense, Medication Dispense ;HL7's SVN repository.;Yes;;05/02/2016 08:00
1235;C-CDA 2.1 Survey and Implementation-A-Thons;Structured Documents Work Group;;Administrative;Jean Duteau, Joginder Madra, Dave Hamill;Archived;;;Vendor Contract;2016 May WGM/Ballot;N/A (Project not directly related to an HL7 Standard);"C-CDA Survey; C-CDA IAT ";;N/A;V3 Documents-Clinical (e.g. CDA);05/02/2016 08:00
1237;Query Language Analysis (HL7 Cross-Paradigm Neutral Mapping Notation, Release 1;Implementable Technology Specifications Work Group;Clinical Decision Support Work Group, Clinical Quality Information Work Group, FHIR Infrastructure Work Group;Infrastructure;Bryn Rhodes, Ewout Kramer;Archived;01/03/2016;29/03/2016;Ballot - STU to Normative;2020 Jan WGM/Ballot;Revise Current Standard;FHIRPath, CQL, FluentPath;http://wiki.hl7.org/index.php?title=FHIRPath_CQL;No;- New Product Definition -;05/02/2016 08:00
1241;March 2016 Post Harmonization;Board of Directors Work Group;No Selection;None;Ted Klein;Archived;;;Vendor Contract;2016 May WGM/Ballot;Revise Current Standard;;;;V3 Foundation-RIM;09/02/2016 08:00
1242;Publishing Template for Work Group White Papers (WGWP);Publishing Work Group;;Organizational Support;Freida Hall;Archived;07/03/2016;15/03/2016;- Other -;2016 May WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;N/A;- Non Product Project -;12/02/2016 08:00
1240;RCRIM FHIR Resources and Profiles;Biomedical Research and Regulation Work Group;;Clinical;Elaine Ayres and Lloyd McKenzie;Archived;21/01/2016;08/02/2016;Ballot - STU to Normative;2018 Sept WGM/Ballot;Create New Standard;Clinical Research, Adverse Event FHIR Resource, Adverse Event FHIR Profile, Questionnaire profile for regulated clinical research ;Project documents will be available on the RCRIM wiki site: http://wiki.hl7.org/index.php?title=Regulated_Clinical_Research_Information_Management. ;Yes;;12/02/2016 08:00
1245;Functional Profile for Regional Interoperable EHR-Systems (Fascicolo Sanitario Elettronico);HL7 Affiliate -  Italy;;None;Giorgio Cangioli;Archived;;;HL7 Affiliate Project;2016 May WGM/Ballot;;;http://www.hl7italia.it/sites/default/files/Hl7/docs/ballot/FP_FSE_EHRSFMR2_2016Gennaio/HL7IT-PF_FSE_Regionale-v1.0-2ballot-20160120.zip;;Electronic Health Record;18/02/2016 08:00
1244;Revision of the Patient Summary Report HL7 CDA R2 IG v1.0;HL7 Affiliate -  Italy;;None;Marco Devanna   (Contact Person: Giorgio Cangioli);Archived;;;HL7 Affiliate Project;2015 Sept WGM/Ballot;;;http://www.hl7italia.it/sites/default/files/Hl7/docs/public/HL7Italia-IG_CDA2_PSS-v1.2-S.pdf;;V3 Documents-Clinical (e.g. CDA);18/02/2016 08:00
1247;HL7 Vocabulary FHIR Specification Updates;Vocabulary Work Group;;Infrastructure;Rob Hausam, Reuben Daniels;Archived;01/03/2016;;Ballot - STU;2021 Jan WGM/Ballot;Revise Current Standard;Vocabulary, Terminology, FHIR, Terminology Service, ValueSet, ConceptMap, ExpansionProfile, CodeSystem ;HL7's SVN repository.;Yes;;19/02/2016 08:00
1246;THEMES (Terminology Harmonization in Exercise Medicine and Exercise Science) Data Standards Project;Clinical Interoperability Council Work Group;;Clinical;Martin Perlsteyn;Archived;21/01/2016;16/02/2016;Ballot - Informative;2018 Sept WGM/Ballot;Create New Standard;THEMES Data Standards project or THEMES DAM ;;Don't Know;Domain Analysis Model (DAM);19/02/2016 08:00
